"","ticker","Rank","Company","Weight","X","conm","gvkey","cik","cusip","fyear"
"1","A",186,"Agilent Technologies Inc.",0.114511,6576,"AGILENT TECHNOLOGIES INC",126554,1090872,"00846U101",2002
"2","AAL",467,"American Airlines Group Inc.",0.026195,3653,"AMERICAN AIRLINES GROUP INC",1045,6201,"02376R102",2002
"3","AAP",431,"Advance Auto Parts Inc.",0.03518,11049,"ADVANCE AUTO PARTS INC",145977,1158449,"00751Y106",2002
"4","AAPL",1,"Apple Inc.",7.13518,68,"APPLE INC",1690,320193,"037833100",2002
"5","ABC",310,"AmerisourceBergen Corporation",0.0622,8890,"AMERISOURCEBERGEN CORP",31673,1140859,"03073E105",2002
"6","ABMD",413,"ABIOMED Inc.",0.038389,4444,"ABIOMED INC",13619,815094,"003654100",2002
"7","ABT",34,"Abbott Laboratories",0.551666,3958,"ABBOTT LABORATORIES",1078,1800,"002824100",2002
"8","ACN",31,"Accenture Plc Class A",0.555647,5659,"ACCENTURE PLC",143357,1467373,"G1151C101",2002
"9","ADBE",29,"Adobe Incorporated",0.561778,4353,"ADOBE INC",12540,796343,"00724F101",2002
"10","ADI",84,"Analog Devices Inc.",0.259498,5237,"ANALOG DEVICES INC",1632,6281,"032654105",2002
"11","ADM",158,"Archer-Daniels-Midland Company",0.135102,6846,"ARCHER-DANIELS-MIDLAND CO",1722,7084,"039483102",2002
"12","ADP",71,"Automatic Data Processing Inc.",0.29231,2761,"AUTOMATIC DATA PROCESSING",1891,8670,"053015103",2002
"13","ADSK",156,"Autodesk Inc.",0.137083,11217,"AUTODESK INC",1878,769397,"052769106",2002
"14","AEE",286,"Ameren Corporation",0.068674,3101,"AMEREN CORP",10860,1002910,"023608102",2002
"15","AEP",149,"American Electric Power Company Inc.",0.146644,10652,"AMERICAN ELECTRIC POWER CO",1440,4904,"025537101",2002
"16","AES",390,"AES Corporation",0.042682,951,"AES CORP (THE)",24216,874761,"00130H105",2002
"17","AFL",211,"Aflac Incorporated",0.10194,6041,"AFLAC INC",1449,4977,"001055102",2002
"18","AIG",181,"American International Group Inc.",0.116504,1634,"AMERICAN INTERNATIONAL GROUP",1487,5272,"026874784",2002
"19","AIZ",458,"Assurant Inc.",0.028235,10552,"ASSURANT INC",157057,1267238,"04621X108",2002
"20","AJG",204,"Arthur J. Gallagher & Co.",0.103896,8859,"ARTHUR J GALLAGHER & CO",4973,354190,"363576109",2002
"21","AKAM",381,"Akamai Technologies Inc.",0.04452,225,"AKAMAI TECHNOLOGIES INC",125595,1086222,"00971T101",2002
"22","ALB",255,"Albemarle Corporation",0.082195,11062,"ALBEMARLE CORP",29751,915913,"012653101",2002
"23","ALGN",320,"Align Technology Inc.",0.059546,4063,"ALIGN TECHNOLOGY INC",141384,1097149,"016255101",2002
"24","ALK",495,"Alaska Air Group Inc.",0.016034,775,"ALASKA AIR GROUP INC",1230,766421,"011659109",2002
"25","ALL",228,"Allstate Corporation",0.092275,9461,"ALLSTATE CORP",28349,899051,"020002101",2002
"26","AMAT",79,"Applied Materials Inc.",0.269679,4660,"APPLIED MATERIALS INC",1704,6951,"038222105",2002
"27","AMCR",336,"Amcor PLC",0.055787,10988,"AMCOR PLC",100243,1748790,"G0250X107",2002
"28","AMD",44,"Advanced Micro Devices Inc.",0.466626,822,"ADVANCED MICRO DEVICES",1161,2488,"007903107",2002
"29","AME",249,"AMETEK Inc.",0.083157,1880,"AMETEK INC",1598,1037868,"031100100",2002
"30","AMGN",54,"Amgen Inc.",0.37787,2405,"AMGEN INC",1602,318154,"031162100",2002
"31","AMP",245,"Ameriprise Financial Inc.",0.085075,2935,"AMERIPRISE FINANCIAL INC",164708,820027,"03076C106",2002
"32","AMT",61,"American Tower Corporation",0.359319,7995,"AMERICAN TOWER CORP",105365,1053507,"03027X100",2002
"33","AMZN",3,"Amazon.com Inc.",3.404451,288,"AMAZON.COM INC",64768,1018724,"023135106",2002
"34","ANSS",281,"ANSYS Inc.",0.069301,4057,"ANSYS INC",63080,1013462,"03662Q105",2002
"35","AON",125,"Aon Plc Class A",0.172616,5577,"AON PLC",3221,315293,"G0403H108",2002
"36","AOS",481,"A. O. Smith Corporation",0.023217,3974,"SMITH (A.O.)",9771,91142,"831865209",2002
"37","APA",430,"APA Corp.",0.035244,5996,"APA CORP",1678,1841666,"03743Q108",2002
"38","APD",140,"Air Products and Chemicals Inc.",0.157014,10816,"AIR PRODUCTS & CHEMICALS INC",1209,2969,"009158106",2002
"39","APH",162,"Amphenol Corporation Class A",0.131769,4099,"AMPHENOL CORP",14282,820313,"032095101",2002
"40","APTV",247,"Aptiv PLC",0.084527,10955,"APTIV PLC",118122,1521332,"G6095L109",2002
"41","ARE",284,"Alexandria Real Estate Equities Inc.",0.068773,7464,"ALEXANDRIA R E EQUITIES INC",64821,1035443,"015271109",2002
"42","ATO",359,"Atmos Energy Corporation",0.048421,5684,"ATMOS ENERGY CORP",4383,731802,"049560105",2002
"43","AVB",254,"AvalonBay Communities Inc.",0.0823,3656,"AVALONBAY COMMUNITIES INC",29875,915912,"053484101",2002
"44","AVY",375,"Avery Dennison Corporation",0.045512,7722,"AVERY DENNISON CORP",1913,8818,"053611109",2002
"45","AXP",80,"American Express Company",0.268189,8342,"AMERICAN EXPRESS CO",1447,4962,"025816109",2002
"46","AZO",174,"AutoZone Inc.",0.123963,10091,"AUTOZONE INC",23809,866787,"053332102",2002
"47","BA",82,"Boeing Company",0.263344,679,"BOEING CO",2285,12927,"097023105",2002
"48","BAC",25,"Bank of America Corp",0.67934,10953,"BANK OF AMERICA CORP",7647,70858,"060505104",2002
"49","BALL",291,"Ball Corporation",0.067598,10115,"BALL CORP",1988,9389,"058498106",2002
"50","BAX",244,"Baxter International Inc.",0.08598,10967,"BAXTER INTERNATIONAL INC",2086,10456,"071813109",2002
"51","BBWI",469,"Bath & Body Works Inc.",0.025604,1336,"BATH & BODY WORKS INC",6733,701985,"070830104",2002
"52","BBY",384,"Best Buy Co. Inc.",0.043809,4789,"BEST BUY CO INC",2184,764478,"086516101",2002
"53","BDX",108,"Becton Dickinson and Company",0.200145,7315,"BECTON DICKINSON & CO",2111,10795,"075887109",2002
"54","BEN",486,"Franklin Resources Inc.",0.02168,5357,"FRANKLIN RESOURCES INC",4885,38777,"354613101",2002
"55","BF.B",412,"Brown-Forman Corporation Class B",0.039142,8046,"BROWN FORMAN CORP",2435,14693,"115637209",2002
"56","BIIB",238,"Biogen Inc.",0.088644,1616,"BIOGEN INC",24468,875045,"09062X103",2002
"57","BIO",437,"Bio-Rad Laboratories Inc. Class A",0.033925,4261,"BIO-RAD LABORATORIES INC",2220,12208,"090572207",2002
"58","BK",229,"Bank of New York Mellon Corp",0.091899,2393,"BANK OF NEW YORK MELLON CORP",2019,1390777,"064058100",2002
"59","BKNG",95,"Booking Holdings Inc.",0.23047,9760,"BOOKING HOLDINGS INC",119314,1075531,"09857L108",2002
"60","BLK",77,"BlackRock Inc.",0.274243,2854,"BLACKROCK INC",124434,1364742,"09247X101",2002
"61","BMY",45,"Bristol-Myers Squibb Company",0.452471,442,"BRISTOL-MYERS SQUIBB CO",2403,14272,"110122108",2002
"62","BRK.B",7,"Berkshire Hathaway Inc. Class B",1.532969,10570,"BERKSHIRE HATHAWAY",2176,1067983,"084670702",2002
"63","BRO",392,"Brown & Brown Inc.",0.042346,9953,"BROWN & BROWN INC",15417,79282,"115236101",2002
"64","BSX",128,"Boston Scientific Corporation",0.17189,642,"BOSTON SCIENTIFIC CORP",25279,885725,"101137107",2002
"65","BWA",462,"BorgWarner Inc.",0.026752,3108,"BORGWARNER INC",28742,908255,"099724106",2002
"66","BXP",425,"Boston Properties Inc.",0.036036,4533,"BOSTON PROPERTIES INC",64925,1037540,"101121101",2002
"67","C",72,"Citigroup Inc.",0.285813,3561,"CITIGROUP INC",3243,831001,"172967424",2002
"68","CAG",365,"Conagra Brands Inc.",0.047221,10175,"CONAGRA BRANDS INC",3362,23217,"205887102",2002
"69","CAH",360,"Cardinal Health Inc.",0.048346,6448,"CARDINAL HEALTH INC",2751,721371,"14149Y108",2002
"70","CAT",74,"Caterpillar Inc.",0.283866,8217,"CATERPILLAR INC",2817,18230,"149123101",2002
"71","CB",96,"Chubb Limited",0.226527,11349,"CHUBB LTD",28034,896159,"H1467J104",2002
"72","CBRE",265,"CBRE Group Inc. Class A",0.078017,1979,"CBRE GROUP INC",260774,1138118,"12504L109",2002
"73","CCI",97,"Crown Castle Inc.",0.223351,8368,"CROWN CASTLE INC",113490,1051470,"22822V101",2002
"74","CCL",465,"Carnival Corporation",0.026447,3616,"CARNIVAL CORPORATION & PLC",13498,815097,"143658300",2002
"75","CDNS",150,"Cadence Design Systems Inc.",0.14629,1961,"CADENCE DESIGN SYSTEMS INC",13421,813672,"127387108",2002
"76","CDW",279,"CDW Corp.",0.070622,7469,"CDW CORP",28320,1402057,"12514G108",2002
"77","CE",432,"Celanese Corporation",0.035022,1026,"CELANESE CORP",162254,1306830,"150870103",2002
"78","CF",323,"CF Industries Holdings Inc.",0.059392,3973,"CF INDUSTRIES HOLDINGS INC",163946,1324404,"125269100",2002
"79","CHD",314,"Church & Dwight Co. Inc.",0.061337,1894,"CHURCH & DWIGHT INC",3026,313927,"171340102",2002
"80","CHRW",400,"C.H. Robinson Worldwide Inc.",0.041424,7033,"C H ROBINSON WORLDWIDE INC",65609,1043277,"12541W209",2002
"81","CHTR",147,"Charter Communications Inc. Class A",0.147027,5086,"CHARTER COMMUNICATIONS INC",126136,1091667,"16119P108",2002
"82","CI",85,"Cigna Corporation",0.249772,7783,"CIGNA CORP",2547,1739940,"125523100",2002
"83","CINF",404,"Cincinnati Financial Corporation",0.040869,1475,"CINCINNATI FINANCIAL CORP",14824,20286,"172062101",2002
"84","CL",110,"Colgate-Palmolive Company",0.195103,9223,"COLGATE-PALMOLIVE CO",3170,21665,"194162103",2002
"85","CLX",350,"Clorox Company",0.050881,4128,"CLOROX CO/DE",3121,21076,"189054109",2002
"86","CMA",450,"Comerica Incorporated",0.029365,2004,"COMERICA INC",3231,28412,"200340107",2002
"87","CMCSA",39,"Comcast Corporation Class A",0.488528,7278,"COMCAST CORP",3226,1166691,"20030N101",2002
